#products 186
1 0 52 186.00 254.00 171.00 4.63 1 1 1 1 0 0 1
2 1 78 186.00 254.00 171.00 4.63 1 1 1 1 0 0 2
3 2 78 186.00 254.00 171.00 4.63 1 1 1 1 0 0 3
4 0 26 179.00 238.00 185.00 5.08 1 1 1 1 0 0 4
5 1 78 179.00 238.00 185.00 5.08 1 1 1 1 0 0 5
6 2 78 179.00 238.00 185.00 5.08 1 1 1 1 0 0 6
7 0 160 146.00 198.00 184.00 3.08 1 1 1 1 0 0 7
8 1 40 146.00 198.00 184.00 3.08 1 1 1 1 0 0 8
9 2 80 146.00 198.00 184.00 3.08 1 1 1 1 0 0 9
10 0 208 180.00 241.00 118.00 3.19 1 1 1 1 0 0 10
11 1 130 180.00 241.00 118.00 3.19 1 1 1 1 0 0 11
12 2 234 180.00 241.00 118.00 3.19 1 1 1 1 0 0 12
13 0 52 186.00 254.00 171.00 4.63 1 1 1 1 0 0 13
14 1 52 186.00 254.00 171.00 4.63 1 1 1 1 0 0 14
15 2 104 186.00 254.00 171.00 4.63 1 1 1 1 0 0 15
16 0 51 235.00 311.00 159.00 7.21 1 1 1 1 0 0 16
17 1 68 235.00 311.00 159.00 7.21 1 1 1 1 0 0 17
18 2 17 235.00 311.00 159.00 7.21 1 1 1 1 0 0 18
19 0 208 191.00 254.00 191.00 5.08 1 1 1 1 0 0 19
20 1 156 191.00 254.00 191.00 5.08 1 1 1 1 0 0 20
21 2 182 191.00 254.00 191.00 5.08 1 1 1 1 0 0 21
22 0 52 179.00 238.00 185.00 5.08 1 1 1 1 0 0 22
23 1 52 179.00 238.00 185.00 5.08 1 1 1 1 0 0 23
24 2 78 179.00 238.00 185.00 5.08 1 1 1 1 0 0 24
25 0 128 213.00 317.00 135.00 5.87 1 1 1 1 0 0 25
26 1 64 213.00 317.00 135.00 5.87 1 1 1 1 0 0 26
27 2 96 213.00 317.00 135.00 5.87 1 1 1 1 0 0 27
28 0 260 179.00 238.00 185.00 5.35 1 1 1 1 0 0 28
29 1 52 179.00 238.00 185.00 5.35 1 1 1 1 0 0 29
30 2 234 179.00 238.00 185.00 5.35 1 1 1 1 0 0 30
31 0 96 213.00 317.00 135.00 5.87 1 1 1 1 0 0 31
32 1 176 213.00 317.00 135.00 5.87 1 1 1 1 0 0 32
33 2 160 213.00 317.00 135.00 5.87 1 1 1 1 0 0 33
34 0 51 235.00 311.00 159.00 7.21 1 1 1 1 0 0 34
35 1 17 235.00 311.00 159.00 7.21 1 1 1 1 0 0 35
36 2 68 235.00 311.00 159.00 7.21 1 1 1 1 0 0 36
37 0 39 227.00 325.00 124.00 5.94 1 1 1 1 0 0 37
38 1 26 227.00 325.00 124.00 5.94 1 1 1 1 0 0 38
39 2 65 227.00 325.00 124.00 5.94 1 1 1 1 0 0 39
40 0 78 227.00 325.00 124.00 5.94 1 1 1 1 0 0 40
41 1 39 227.00 325.00 124.00 5.94 1 1 1 1 0 0 41
42 2 13 227.00 325.00 124.00 5.94 1 1 1 1 0 0 42
43 0 52 179.00 238.00 159.00 4.43 1 1 1 1 0 0 43
44 1 52 179.00 238.00 159.00 4.43 1 1 1 1 0 0 44
45 2 104 179.00 238.00 159.00 4.43 1 1 1 1 0 0 45
46 0 78 179.00 238.00 159.00 4.43 1 1 1 1 0 0 46
47 1 52 179.00 238.00 159.00 4.43 1 1 1 1 0 0 47
48 2 78 179.00 238.00 159.00 4.43 1 1 1 1 0 0 48
49 0 26 180.00 241.00 118.00 3.19 1 1 1 1 0 0 49
50 1 104 180.00 241.00 118.00 3.19 1 1 1 1 0 0 50
51 2 156 180.00 241.00 118.00 3.19 1 1 1 1 0 0 51
52 0 130 180.00 241.00 118.00 3.19 1 1 1 1 0 0 52
53 1 78 180.00 241.00 118.00 3.19 1 1 1 1 0 0 53
54 2 78 180.00 241.00 118.00 3.19 1 1 1 1 0 0 54
55 0 68 235.00 311.00 159.00 7.21 1 1 1 1 0 0 55
56 1 34 235.00 311.00 159.00 7.21 1 1 1 1 0 0 56
57 2 34 235.00 311.00 159.00 7.21 1 1 1 1 0 0 57
58 0 26 180.00 241.00 160.00 4.43 1 1 1 1 0 0 58
59 1 52 180.00 241.00 160.00 4.43 1 1 1 1 0 0 59
60 2 130 180.00 241.00 160.00 4.43 1 1 1 1 0 0 60
61 0 52 180.00 241.00 160.00 4.43 1 1 1 1 0 0 61
62 1 78 180.00 241.00 160.00 4.43 1 1 1 1 0 0 62
63 2 78 180.00 241.00 160.00 4.43 1 1 1 1 0 0 63
64 0 78 186.00 254.00 171.00 4.63 1 1 1 1 0 0 64
65 1 52 186.00 254.00 171.00 4.63 1 1 1 1 0 0 65
66 2 78 186.00 254.00 171.00 4.63 1 1 1 1 0 0 66
67 0 52 186.00 254.00 171.00 4.63 1 1 1 1 0 0 67
68 1 26 186.00 254.00 171.00 4.63 1 1 1 1 0 0 68
69 2 130 186.00 254.00 171.00 4.63 1 1 1 1 0 0 69
70 0 156 186.00 254.00 171.00 4.63 1 1 1 1 0 0 70
71 1 78 186.00 254.00 171.00 4.63 1 1 1 1 0 0 71
72 2 182 186.00 254.00 171.00 4.63 1 1 1 1 0 0 72
73 0 78 191.00 254.00 191.00 5.35 1 1 1 1 0 0 73
74 1 26 191.00 254.00 191.00 5.35 1 1 1 1 0 0 74
75 2 78 191.00 254.00 191.00 5.35 1 1 1 1 0 0 75
76 0 52 180.00 241.00 186.00 5.08 1 1 1 1 0 0 76
77 1 104 180.00 241.00 186.00 5.08 1 1 1 1 0 0 77
78 2 26 180.00 241.00 186.00 5.08 1 1 1 1 0 0 78
79 0 200 146.00 198.00 184.00 3.08 1 1 1 1 0 0 79
80 1 320 146.00 198.00 184.00 3.08 1 1 1 1 0 0 80
